"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"279",2,10707567,"Hamm, Rue de Bitbourg","",1,,,1,
"279",6,10794068,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707643,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707566,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707642,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707565,"Hamm, Rue de Bitbourg","",1,,,1,
"279",6,10794067,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707641,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707564,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707640,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707563,"Hamm, Rue de Bitbourg","",1,,,1,
"279",6,10794066,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707639,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707562,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707638,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707561,"Hamm, Rue de Bitbourg","",1,,,1,
"279",6,10794065,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707637,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707560,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707636,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707559,"Hamm, Rue de Bitbourg","",1,,,1,
"279",6,10794064,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707635,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707558,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707634,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707557,"Hamm, Rue de Bitbourg","",1,,,1,
"279",6,10794063,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707633,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707556,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707632,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707555,"Hamm, Rue de Bitbourg","",1,,,1,
"279",6,10794062,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707631,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707554,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707630,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707553,"Hamm, Rue de Bitbourg","",1,,,1,
"279",6,10794061,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707629,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707552,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707628,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707626,"Hamm, Rue de Bitbourg","",1,,,1,
"279",6,10794131,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707627,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707625,"Hamm, Rue de Bitbourg","",1,,,1,
"279",4,10707538,"Hamm, Rue de Bitbourg","",1,,,1,
"279",4,10707537,"Hamm, Rue de Bitbourg","",1,,,1,
"279",4,10707536,"Hamm, Rue de Bitbourg","",1,,,1,
"279",4,10707535,"Hamm, Rue de Bitbourg","",1,,,1,
